"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:2CFfjwvlAoZAXTi7w48S5T","Pictures of You","spotify:artist:4IKdJSimREJMIKDfvYvJHF, spotify:artist:0WCfu8x76QX3CjVgiE3Hn2","Lenzman, DRS","spotify:album:6gXtYiVWP5keibf4dWM7Ys","Pictures of You","spotify:artist:4IKdJSimREJMIKDfvYvJHF","Lenzman","2019-03-01","https://i.scdn.co/image/ab67616d0000b2735fde8e87fa3aaa28797ebe4c","1","1","302113","https://p.scdn.co/mp3-preview/f2a9bad7aa05f60fc5c96a895b36be62a0930c5e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","GBBHF1310512","spotify:user:spw1986-au","2020-12-31T01:15:55Z","drum and bass,drumfunk,dutch dnb,jazzy dnb,liquid funk,drum and bass,liquid funk,manchester hip hop","0.673","0.923","9","-3.514","0","0.0999","0.00133","0.812","0.0879","0.126","171.982","4","","Metalheadz","C 2019 Metalheadz Ltd, P 2019 Metalheadz Ltd"
"spotify:track:5FmD6Svf1V4A0ECU9wgsoq","Poveglia","spotify:artist:7gYMOxGbwZZgvaOc6z5VJG, spotify:artist:4ajNIcnJvrrzB1lLr1eXMP","Degs, De:Tune","spotify:album:2j3v5tjHZa2maBpncfEN7Q","Poveglia","spotify:artist:7gYMOxGbwZZgvaOc6z5VJG","Degs","2018-05-11","https://i.scdn.co/image/ab67616d0000b2733db00b0abe1ff898cffa791a","1","1","290156","https://p.scdn.co/mp3-preview/e6a3877a232ad47510f212ee606bfcfca03995c3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","GBCJY1800067","spotify:user:spw1986-au","2020-12-31T01:16:06Z","liquid funk,uk dnb,deep dnb","0.529","0.807","7","-4.908","1","0.0399","0.0239","0.000039","0.1","0.267","174.024","4","","Hospital Records","C 2018 Hospital Records Limited, P 2018 Hospital Records Limited"
"spotify:track:4XC8wCNrIneWEL0ihVZDwS","Rain God","spotify:artist:6gnohqGISFUVpTSqT3TtiO","Dawn Wall","spotify:album:6CGIHV6jxxjPisNA3WvhlY","Rain God","spotify:artist:6gnohqGISFUVpTSqT3TtiO","Dawn Wall","2018-11-16","https://i.scdn.co/image/ab67616d0000b273511f48598ec86794606c6622","1","1","267108","","false","0","GB2LD1800852","spotify:user:spw1986-au","2020-12-31T01:17:36Z","drum and bass,liquid funk","0.496","0.869","5","-4.461","0","0.0477","0.000244","0.789","0.201","0.0514","175.055","4","","Ekho","C 2018 Ekho, P 2018 Ekho"
"spotify:track:4PyUGm8JuecEg9bOhk2AAX","Golden Age","spotify:artist:4IKdJSimREJMIKDfvYvJHF, spotify:artist:6BDEibpPxb7JNfdEpMj82h","Lenzman, Steo","spotify:album:3NH5UL7IVuun3NEJcF9bt6","Golden Age","spotify:artist:4IKdJSimREJMIKDfvYvJHF","Lenzman","2016-01-15","https://i.scdn.co/image/ab67616d0000b273ddb80ae74e16ffc1b8502512","1","2","314420","https://p.scdn.co/mp3-preview/e98312607c4f85c1cd34eda7e2e4e41a51fe0479?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","GBBHF1310217","spotify:user:spw1986-au","2020-12-31T01:17:52Z","drum and bass,drumfunk,dutch dnb,jazzy dnb,liquid funk","0.695","0.877","1","-4.5","1","0.0918","0.000302","0.899","0.408","0.338","174.011","4","","Metalheadz","C Metalheadz Ltd, P Metalheadz Ltd"
"spotify:track:72S3gweyiRsRYqJZLznpX7","Hope (Rise Up) - Telomic Remix","spotify:artist:6ZlLxdmaQUCXRoAy0CGBGc, spotify:artist:2uCrvTUHRA9kuW4IA67oDn","Empaths, Telomic","spotify:album:5l28yN45T3vJKJDJEEVdXf","Hope (Rise Up) [Telomic Remix]","spotify:artist:6ZlLxdmaQUCXRoAy0CGBGc, spotify:artist:2uCrvTUHRA9kuW4IA67oDn","Empaths, Telomic","2020-06-29","https://i.scdn.co/image/ab67616d0000b273c91833fe1e9ab352a7b0946c","1","1","236767","https://p.scdn.co/mp3-preview/dbd2d695a16f4a29f46929ded9d64c76e07149bb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","QZHN72015419","spotify:user:spw1986-au","2020-12-31T01:17:59Z","liquid funk,uk dnb","0.549","0.866","6","-3.164","0","0.0557","0.00719","0.00000147","0.129","0.192","174.006","4","","Empaths","C 2020 Empaths, P 2020 Empaths"
"spotify:track:1pQNZW4q5xDIUqCwBrZh3e","A Thousand Times","spotify:artist:6bFVG82TmMLbnFFBqG9LYa, spotify:artist:7BWjWVat8puiUriWads4kk","Redeyes, [ K S R ]","spotify:album:0lw1FLXfCcgBYKrBXDOp4D","Belong","spotify:artist:6bFVG82TmMLbnFFBqG9LYa, spotify:artist:2w5c2l70mYNDdSLifFyZjJ","Redeyes, Monty","2020-08-28","https://i.scdn.co/image/ab67616d0000b273bd1d77f058cb4ac309f2e7e3","1","2","291462","https://p.scdn.co/mp3-preview/c2f0d89e053d6b5984081d4a911bccbab3c538ba?cid=9950ac751e34487dbbe027c4fd7f8e99","false","7","NLM7H2000053","spotify:user:spw1986-au","2020-12-31T01:18:07Z","drum and bass,drumfunk,french dnb,liquid funk,british soul,uk contemporary r&b","0.615","0.855","7","-5.053","0","0.0501","0.00255","0.0499","0.214","0.256","87.011","4","","The North Quarter","C 2020 The North Quarter, P 2020 The North Quarter"
"spotify:track:2EiazSYyCSlBEKED2EvysD","LK Feat. Stamina MC (Carol Carolina Bela)","spotify:artist:1rd51IrbtX9DqoU0Zxu4TV, spotify:artist:4Dj3ahDCFjotIV1O5Ung6o, spotify:artist:5ygGHl3fcjSnPYYJE9x1P0, spotify:artist:3LwsDbqIT1UpVagPimtEsF","DJ Marky, Stamina MC, XRS, Stamina MC Carol Carolina Bela","spotify:album:7mbsNDCjwQgI6l36S4ydjt","In Rotation","spotify:artist:1rd51IrbtX9DqoU0Zxu4TV, spotify:artist:5ygGHl3fcjSnPYYJE9x1P0","DJ Marky, XRS","2004-03-09","https://i.scdn.co/image/ab67616d0000b273f9b1b466f3f6f5c25e852dd5","1","7","329746","https://p.scdn.co/mp3-preview/f9828bb7767e6c78bc03e1e37972699107fdcb68?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","GBGPZ0300007","spotify:user:spw1986-au","2020-12-31T01:18:32Z","brazilian dnb,drum and bass,jazzy dnb,jump up,jungle,liquid funk,sambass,brazilian dnb,liquid funk,sambass","0.651","0.932","8","-6.459","0","0.0686","0.0125","0.426","0.212","0.966","174.008","4","","Innerground Records","C 2004 Innerground Records, P 2004 Innerground Records"
"spotify:track:05A0114tDL19SVSwTcnLqN","Hurt Someone","spotify:artist:0WCfu8x76QX3CjVgiE3Hn2, spotify:artist:3mJPM3drRUdlDVXcc3tA0M, spotify:artist:52daryZMe3vvpHyMyJK6SM","DRS, Slay, Chimpo","spotify:album:2nlsKjX6KfKqpvLfRrY8sm","Hurt Someone","spotify:artist:0WCfu8x76QX3CjVgiE3Hn2, spotify:artist:3mJPM3drRUdlDVXcc3tA0M, spotify:artist:52daryZMe3vvpHyMyJK6SM","DRS, Slay, Chimpo","2020-01-31","https://i.scdn.co/image/ab67616d0000b273a90c474eaa14d3953a9f0d17","1","1","232727","https://p.scdn.co/mp3-preview/2616d61cb1fbe30461061509b70a6923161981f2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","GBKQU2003533","spotify:user:spw1986-au","2020-12-31T01:20:55Z","drum and bass,liquid funk,manchester hip hop,manchester hip hop,ninja","0.79","0.799","11","-4.84","1","0.235","0.1","0.00000108","0.113","0.545","82.493","4","","Box N Lock","C 2020 Box N Lock, P Copyright Control"
"spotify:track:4Iih0TgOSmrgjtJ4nzhvyb","Numbers","spotify:artist:4e6pQ61gYReORJoXcrQH1Z, spotify:artist:7pd29LFwPS77MOijKvF7q1","Alix Perez, Benabu","spotify:album:73mqAEYJZwbDNakq01hmj6","Numbers EP","spotify:artist:4e6pQ61gYReORJoXcrQH1Z","Alix Perez","2016-11-25","https://i.scdn.co/image/ab67616d0000b2736fda67cd49a7a6cdc6c480ca","1","4","254714","https://p.scdn.co/mp3-preview/c156e1793de79cc210c8d1178e0e6af39c56c1f0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","UKEWB1600019","spotify:user:spw1986-au","2020-12-31T01:21:24Z","belgian edm,drum and bass,drumfunk,halftime dnb,jungle,liquid funk,neurofunk","0.69","0.83","7","-4.986","1","0.0506","0.00276","0.776","0.093","0.396","171.949","4","","1985 Music","C 2016 1985 Music, P Copyright Control"
"spotify:track:5zY3OVGdFR7Pj6n1fAWCW9","Forsaken","spotify:artist:4e6pQ61gYReORJoXcrQH1Z, spotify:artist:0v2oB2xMS64U3lcU5DFuCY, spotify:artist:5OvI3XKz7Y1TJAxPbn848T","Alix Perez, Peven Everett, SpectraSoul","spotify:album:2fzARPEkcMwRoYqoSZhcsc","1984","spotify:artist:4e6pQ61gYReORJoXcrQH1Z","Alix Perez","2009-10-12","https://i.scdn.co/image/ab67616d0000b273510df95d45b5b01866123640","1","6","361000","https://p.scdn.co/mp3-preview/8f0ba1952bb64d0c261ad40c03c5f420b26d7c48?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","GBPWR0900076","spotify:user:spw1986-au","2020-12-31T01:21:29Z","belgian edm,drum and bass,drumfunk,halftime dnb,jungle,liquid funk,neurofunk,deep house,neo soul,soulful house,drum and bass,drumfunk,liquid funk","0.706","0.804","10","-3.998","0","0.112","0.133","0.871","0.0909","0.712","171.995","4","","Shogun Audio","C 2009 Shogun Audio Ltd, P 2009 Shogun Audio Ltd"
