"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:2aeKjOnoJXavtpj2Hd2P4g","My Head Is A Jungle - MK Remix - Radio Edit","spotify:artist:01e2lCvLZ4fLUIRy68nptH, spotify:artist:1A96iePIMNFBjLrjXEl718, spotify:artist:1yqxFtPHKcGcv6SXZNdyT9","Wankelmut, Emma Louise, MK","spotify:album:4d8wnIeA5POzjK0P8v6w5c","My Head Is A Jungle (The Remixes)","spotify:artist:01e2lCvLZ4fLUIRy68nptH, spotify:artist:1A96iePIMNFBjLrjXEl718","Wankelmut, Emma Louise","2013-01-01","https://i.scdn.co/image/ab67616d0000b273d531604f22f5e076288dd0a0","1","1","205360","https://p.scdn.co/mp3-preview/6c4884cb7f9644fae15d742193e6610366446e7c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","DEAW11300332","spotify:user:","2020-11-06T16:59:04Z","deep euro house,tropical house,australian indie,brisbane indie,dance pop,edm,house,pop dance,tropical house","0.674","0.778","7","-6.684","0","0.0383","0.0744","0.00456","0.266","0.406","123.993","4","","Virgin","C © 2013 Modernsoul, under exclusive license to Virgin Records, a division of Universal Music GmbH, P ℗ 2013 Modernsoul, under exclusive license to Virgin Records, a division of Universal Music GmbH"
"spotify:track:1LC6p9xSpZBogQMqlWZ5SZ","Get Out My Head","spotify:artist:4ly0VtIYiDYVA4q6ry0NUk","Redlight","spotify:album:6DwTQ5IU3Tp9YGIyzZwjNw","Get Out My Head","spotify:artist:4ly0VtIYiDYVA4q6ry0NUk","Redlight","2011-01-01","https://i.scdn.co/image/ab67616d0000b273c5f4a321b8261ff19ebff1f2","1","1","224800","https://p.scdn.co/mp3-preview/d89f541b197c2433439526370e64c79db8614593?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","GBUM71111138","spotify:user:","2020-11-06T16:59:04Z","bass house,bristol electronic,deep groove house,house,pop dance,uk bass,uk dance,uk funky","0.742","0.405","11","-3.133","0","0.0507","0.207","0.223","0.08","0.79","138.077","4","","EMI","C © 2011 MTA Records LLP under exclusive license to Mercury Records Limited, P ℗ 2011 MTA Records LLP under exclusive license to Mercury Records Limited"
"spotify:track:48gv7cE3Fs4DNNSgWkbu1f","Coma Cat","spotify:artist:75nC6MXUalYZSOd7OfNkwq","Tensnake","spotify:album:6nw5kO6PPxOI2RzuNX7Bya","Coma Cat","spotify:artist:75nC6MXUalYZSOd7OfNkwq","Tensnake","2010-09-20","https://i.scdn.co/image/ab67616d0000b27367320dd7d62c32d7b641365b","1","1","177621","https://p.scdn.co/mp3-preview/b3fdab94c95aef2b2fe6d50eeb2dc96c5fc26510?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","GBCPZ1004351","spotify:user:","2020-11-06T16:59:04Z","deep house,disco house,edm,german house,hamburg electronic,house,nu disco,pop dance,tropical house,vocal house","0.614","0.949","0","-4.948","1","0.0468","0.00482","0.215","0.298","0.733","118.987","4","","Defected Records","C © 2010 Defected Records under exclusive license from Permanent Vacation & Tensnake, P ℗ 2010 Defected Records under exclusive license from Permanent Vacation & Tensnake"
"spotify:track:5S7Y5HgQ2HPqiCVkKylT2r","What They Say","spotify:artist:6TshTCYwh9ySzOO6Jy4Ux2","Maya Jane Coles","spotify:album:0DECxh5mdTBhB2Rw9qE7UI","What They Say EP","spotify:artist:6TshTCYwh9ySzOO6Jy4Ux2","Maya Jane Coles","2010-09-22","https://i.scdn.co/image/ab67616d0000b2735fc235dac602275bcfb0c869","1","1","400115","https://p.scdn.co/mp3-preview/1fe80f31d2914376562a7b2b896d63d5ae15c9ec?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","GBKPL1417035","spotify:user:","2020-11-06T16:59:04Z","deep disco house,deep house,electra,electronica,microhouse,minimal tech house,uk house","0.805","0.779","6","-6.217","1","0.0381","0.00182","0.846","0.0831","0.567","125.012","4","","I/AM/ME","C (C) 2014 Maya Jane Coles, P (P) 2014 Maya Jane Coles"
"spotify:track:1HrMWH5GUdK6Yi94rbANJA","Cola","spotify:artist:240wlM8vDrf6S4zCyzGj2W, spotify:artist:2vf4pRsEY6LpL5tKmqWb64","CamelPhat, Elderbrook","spotify:album:4Mz3YFnTKm7JbuOi25mDWH","Cola","spotify:artist:240wlM8vDrf6S4zCyzGj2W, spotify:artist:2vf4pRsEY6LpL5tKmqWb64","CamelPhat, Elderbrook","2017-06-16","https://i.scdn.co/image/ab67616d0000b273f6db09ac79eb3d74f1df3ad4","1","1","223869","https://p.scdn.co/mp3-preview/b20a6b7b0611761fea1853b9aac5efe38d9a0f72?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","GBCPZ1711555","spotify:user:","2020-11-06T16:59:04Z","deep tech house,edm,house,progressive house,edm,tropical house","0.706","0.74","6","-7.904","1","0.0325","0.0245","0.512","0.135","0.444","122.007","3","","Defected Records","C © 2017 Defected Records Limited, P ℗ 2017 Defected Records Limited"
"spotify:track:5zdkUzguZYAfBH9fnWn3Zl","Need U (100%) (feat. A*M*E) - Radio Edit","spotify:artist:61lyPtntblHJvA7FMMhi7E, spotify:artist:0tMbQtD3YwrVFk9Lb6abmB","Duke Dumont, A*M*E","spotify:album:3kiROSu1UpNbBPlewWu3f6","Need U (100%) (feat. A*M*E) [Remixes]","spotify:artist:61lyPtntblHJvA7FMMhi7E","Duke Dumont","2013-03-29","https://i.scdn.co/image/ab67616d0000b2738838e614447b47d2865bf962","1","1","174121","https://p.scdn.co/mp3-preview/a7aea4b2235c68e265cc76aeb21ea9c121760b6f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","GBCEN1300001","spotify:user:","2020-11-06T16:59:04Z","dance pop,destroy techno,edm,electro house,house,pop dance,progressive house,tropical house,uk pop","0.67","0.848","0","-5.103","0","0.0538","0.00172","0.00168","0.385","0.457","124.031","4","","EMI","C © 2013 Adam Dyment, under exclusive licence to Universal Music Operations Limited, P An EMI release; ℗ 2013 Adam Dyment, under exclusive licence to Universal Music Operations Limited"
"spotify:track:5xTvCBj2zysa4dYRcl2NcL","Teach Me","spotify:artist:3MyFDtqB80WZvbtCZRsekM","Bakermat","spotify:album:7KDKbQO5zqlyFdM17qHiiL","Teach Me","spotify:artist:3MyFDtqB80WZvbtCZRsekM","Bakermat","2015-01-05","https://i.scdn.co/image/ab67616d0000b27364549673452a558ef6475eaf","1","2","332026","https://p.scdn.co/mp3-preview/3dc01fd9706870a44862f653e876ba9b8f1c6986?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","NLE801400535","spotify:user:","2020-11-06T16:59:04Z","minimal tech house,tropical house","0.792","0.548","8","-7.424","1","0.132","0.00093","0.00179","0.729","0.69","126.01","4","","b1","P (P) 2014 B1 Recordings a Sony Music Entertainment Company under exclusive license from Be Yourself Catalogue B.V."
"spotify:track:0H0UyIakng8mEncqwN3ah7","White Noise","spotify:artist:6nS5roXSAGhTGr34W6n7Et, spotify:artist:2VAnyOxzJuSAj7XIuEOT38","Disclosure, AlunaGeorge","spotify:album:2rFFK7ECslMwo0SMvmwB7m","Hype","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2020-07-03","https://i.scdn.co/image/ab67616d0000b273fed36c767c272b2d2cbc6751","1","6","340268","https://p.scdn.co/mp3-preview/cde014e3228fd8d60b5a11968b7a543134c1fa54?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","GBUM71300682","spotify:user:","2020-11-06T16:59:04Z","edm,house,pop,uk dance,electropop,house,tropical house","0.707","0.881","10","-7.295","0","0.0525","0.00581","0.0015","0.353","0.854","120","4","","UME - Global Clearing House","C © 2020 UMG Recordings, Inc., P ℗ 2020 UMG Recordings, Inc. FP"
"spotify:track:4lpmPsw2NIkfyL0NWDA3PN","Look Right Through - MK Vocal Edit","spotify:artist:0DgsuiMZylmPOYkrVOqNYQ, spotify:artist:1yqxFtPHKcGcv6SXZNdyT9","Storm Queen, MK","spotify:album:56KPfuAKtSPUmy9U3AKVDK","Look Right Through (MK Vocal Edit)","spotify:artist:0DgsuiMZylmPOYkrVOqNYQ","Storm Queen","2013-11-01","https://i.scdn.co/image/ab67616d0000b2738a5d95673779f651b3557391","1","1","148388","https://p.scdn.co/mp3-preview/b5ce7d9c6af0255a74b983b62e79a27aef441821?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","GBCEN1300853","spotify:user:","2020-11-06T16:59:04Z","deep disco house,dance pop,edm,house,pop dance,tropical house","0.83","0.816","0","-7.977","0","0.0796","0.00202","0.00359","0.259","0.514","119.991","4","","Environ","C 2013 Environ LLC, P 2013 Environ LLC"
"spotify:track:5je1EimWTwYw2p8XVym99q","I Need Air (feat. Angela Hunte)","spotify:artist:40ttEBZPhAHbXH6aUg4GkL, spotify:artist:7rEqtNYXSDePQHdZNiLN6L","Magnetic Man, Angela Hunte","spotify:album:1xlyG4VH7qEx1tNVXDtcmr","Magnetic Man","spotify:artist:40ttEBZPhAHbXH6aUg4GkL","Magnetic Man","2010","https://i.scdn.co/image/ab67616d0000b2734acf3b387e03c6fdb8fa913f","1","3","256306","https://p.scdn.co/mp3-preview/57b790d226e655a84ae3c70fe58f9c27f0f2c709?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","GBARL1000680","spotify:user:","2020-11-06T16:59:04Z","classic dubstep","0.318","0.836","6","-5.173","0","0.0797","0.000751","0.164","0.132","0.382","182.394","4","","Columbia","P (P) 2011 Sony Music Entertainment UK Limited"
