"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:36mDXM4JS6ovRFGwSpK2KW","Roll over Beethoven","spotify:artist:7jefIIksOi1EazgRTfW2Pk","Electric Light Orchestra","spotify:album:0wzmqCoQ3rZTuCuIwK1jKp","The Essential Electric Light Orchestra","spotify:artist:7jefIIksOi1EazgRTfW2Pk","Electric Light Orchestra","2011-10-10","https://i.scdn.co/image/ab67616d0000b273308ccdc2a4be8fda99f739b6","1","2","271906","https://p.scdn.co/mp3-preview/cd29c9f9c72828910183575739e75ce465119515?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","USSM17800859","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2021-12-29T01:21:37Z","album rock,art rock,beatlesque,classic rock,glam rock,mellow gold,rock,soft rock,symphonic rock","0.369","0.891","11","-8.892","0","0.26","0.0538","0.0013","0.0991","0.707","175.965","4","","Epic","P (P) 2011 Sony Music Entertainment"
"spotify:track:7KWqu10A0hb4ZVecyTQK4r","Rock Lobster (Single Version)","spotify:artist:3gdbcIdNypBsYNu3iiCjtN","The B-52's","spotify:album:7I0EgDHDiUzJF5RLADBZCt","Classic New Wave","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2020-07-24","https://i.scdn.co/image/ab67616d0000b273b0fd8c162c707870b1f2a7a2","1","13","296053","https://p.scdn.co/mp3-preview/900bccea0d1d2bec9900aecb155d4f358c81950b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","USWB17900063","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2021-12-29T01:23:29Z","art rock,dance rock,new romantic,new wave,new wave pop,permanent wave,post-punk,rock,zolo","0.561","0.96","1","-3.848","1","0.0605","0.0078","0.0154","0.0501","0.554","90.311","4","","Warner Music Group - X5 Music Group","C 2020 Warner Music Group - X5 Music Group, P 2020 Warner Music Group - X5 Music Group"
"spotify:track:5KGvAKCPSAChJAs4J6yd3u","Shine","spotify:artist:65EXuYHVoehCKqp0kOS6px, spotify:artist:02YJsdIDl8b4VqoMyc1P91","Parov Stelar, Lilja Bloom","spotify:album:4TEZiXCLTfPn5KJFrQgl7k","The Art Of Sampling (Deluxe Version)","spotify:artist:65EXuYHVoehCKqp0kOS6px","Parov Stelar","2013-01-01","https://i.scdn.co/image/ab67616d0000b273dfedb034fe901bda069a0ffa","1","13","217653","https://p.scdn.co/mp3-preview/6b9058088254be4908e4d6160555af11070fc1e9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","ATE610800006","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2021-12-29T19:30:13Z","balkan beats,downtempo,electro swing,nu jazz,tropical house","0.783","0.475","6","-10.332","1","0.0372","0.0908","0.366","0.114","0.131","104.018","4","","Island Records","C © 2013 Etage Noir Recordings, under exclusive license to Polydor/Island, a division of Universal Music GmbH, P ℗ 2013 Etage Noir Recordings, under exclusive license to Polydor/Island, a division of Universal Music GmbH"
"spotify:track:1MeMfXuGPbO4qWVFZ1MeAV","Peter Gunn (feat. Duane Eddy)","spotify:artist:77zrvBORXcnTyysjjKRfBU, spotify:artist:1I5Cu7bqjkRg85idwYsD91","The Art Of Noise, Duane Eddy","spotify:album:3Q0yrBSY6UjCPfUZvT7JyF","In Visible Silence","spotify:artist:77zrvBORXcnTyysjjKRfBU","The Art Of Noise","1986-04-14","https://i.scdn.co/image/ab67616d0000b2730cb527d1cd1024f7f59e08ae","1","8","228000","https://p.scdn.co/mp3-preview/dbfcd86cd84ff97ded74d48be1b4018d210492a5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","GBAHS0300553","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2021-12-29T21:22:23Z","new romantic,new wave,new wave pop,synthpop,adult standards,rock-and-roll,rockabilly,surf music","0.657","0.917","10","-6.586","1","0.0321","0.00921","0.832","0.201","0.879","119.899","4","","Rhino","C © 1986 China Records Ltd., P ℗ 1986 China Records Ltd."
"spotify:track:3buXj0P7rT9iVJvxH2jk6Y","Enter Sandman","spotify:artist:0VU96E512M8L7rxEdTNHq2","Dub Spencer & Trance Hill","spotify:album:6z7qEIoHO43Aa4Og8K1kYD","Riding Strange Horses","spotify:artist:0VU96E512M8L7rxEdTNHq2","Dub Spencer & Trance Hill","2010-01-15","https://i.scdn.co/image/ab67616d0000b273fc91a2820ecf7ff240ff9a68","1","11","268946","https://p.scdn.co/mp3-preview/196c31b6d2deee9302688de88e1a3eaea2e6cca0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","7","DEH261007111","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2021-12-30T00:55:01Z","dub,swiss reggae","0.775","0.439","11","-10.947","0","0.0401","0.00984","0.704","0.205","0.318","131.014","4","","Echo Beach","C (C) 2009 Echo Beach"
"spotify:track:31IIB2cI3dajhVLvccup4W","Rock the Casbah","spotify:artist:0VU96E512M8L7rxEdTNHq2","Dub Spencer & Trance Hill","spotify:album:5zZf1rO9jkKHUtp9k43KDE","The Clashification of Dub","spotify:artist:0VU96E512M8L7rxEdTNHq2","Dub Spencer & Trance Hill","2011-02-25","https://i.scdn.co/image/ab67616d0000b27374d48e88bf8733be1a5c44b2","1","7","313080","https://p.scdn.co/mp3-preview/f82fb0196299209c3af07379c07ebf4b44145495?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","DEH261108107","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2021-12-30T00:55:21Z","dub,swiss reggae","0.912","0.293","0","-12.97","1","0.0656","0.233","0.57","0.0892","0.386","120.058","4","","Echo Beach","C (C) 2011 Echo Beach"
"spotify:track:2CDNjonGoGIrfGzAdhbOAF","A Fifth Of Beethoven","spotify:artist:73JBR5s2PVvUjGu6tIqjqx, spotify:artist:3JMRq98LrEi2ezxixzN2Is","Walter Murphy, The Big Apple Band","spotify:album:23zvBBS5QteJrQ2xVDUC1I","House Of Gucci (Music taken from the Motion Picture)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2021-12-08","https://i.scdn.co/image/ab67616d0000b27342ea4917d8e3aa442614b072","1","14","183400","https://p.scdn.co/mp3-preview/98f5f09fa0e6655939e1c6054f780bb01c8b9696?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","QMRSZ1301132","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-01-01T19:53:02Z","disco,hammond organ","0.718","0.669","5","-7.283","0","0.0446","0.176","0.822","0.0581","0.824","108.856","4","","Decca (UMO) (Classics)","C © 2021 Universal Music Operations Limited, P This Compilation ℗ 2021 Metro-Goldwyn-Mayer Music Inc, under exclusive licence to Universal Music Operations Limited"
"spotify:track:17qTCs5qkcnPvSIBOxoyel","Rock the Casbah","spotify:artist:6XfDFKuXGVanrG5ujEEyLp","Solar Twins","spotify:album:2i3coiOoSpvSUIhQTtuc7T","Solar Twins","spotify:artist:6XfDFKuXGVanrG5ujEEyLp","Solar Twins","1999-09-10","https://i.scdn.co/image/ab67616d0000b27393a5fffb15bdc20bb3fc8863","1","5","222226","https://p.scdn.co/mp3-preview/2e75c6064cd9f10d71efbb547763fcae6421731c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","USMV29900081","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-01-20T09:05:57Z","","0.624","0.972","6","-4.049","0","0.0803","0.0866","0.0144","0.166","0.835","144.969","4","","Maverick","C © 1999 Maverick Recording Company, P ℗ 1999 Maverick Recording Company"
"spotify:track:5jZwsaDKUaRaCOMt9LvQjv","Rock The Casbah","spotify:artist:74IIqlVQQmvf04EHOI6yKh","Richard Cheese","spotify:album:2s6fotCBRZZ3tYt9vVSxM0","I'd Like A Virgin","spotify:artist:74IIqlVQQmvf04EHOI6yKh","Richard Cheese","2004","https://i.scdn.co/image/ab67616d0000b273d92644b9424153d6915da02e","1","19","80266","https://p.scdn.co/mp3-preview/081d6bc41804afebb69f87527780c80115157abe?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","USSFR0417919","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-01-20T09:07:58Z","comic,comic metal,jazz cover","0.596","0.642","7","-3.808","1","0.0346","0.179","0","0.376","0.862","99.277","4","","Surfdog Records","C © 2006 Surfdog Records, P ℗ 2006 Surfdog Records"
"spotify:track:4udOFK7drN6qDbKeA6FOr6","Creep","spotify:artist:74IIqlVQQmvf04EHOI6yKh","Richard Cheese","spotify:album:7nACgH5cI6ctEXxaRFNdWS","The Sunny Side of the Moon: The Best of Richard Cheese","spotify:artist:74IIqlVQQmvf04EHOI6yKh","Richard Cheese","2006-02-07","https://i.scdn.co/image/ab67616d0000b2738df46fd3e5f7bc76812117a1","1","18","153120","https://p.scdn.co/mp3-preview/dc5e3604c9000cad1b552d28323fd91bf1cdab18?cid=9950ac751e34487dbbe027c4fd7f8e99","true","47","USSFR0517318","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-01-20T09:09:08Z","comic,comic metal,jazz cover","0.565","0.641","7","-4.258","1","0.368","0.552","0","0.265","0.12","199.994","4","","Surfdog Records","C (C) 2006 Surfdog, Inc., P (P) 2006 Surfdog, Inc."
