"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:54TgI46OnNqcf0SyzQyCL6","Atlas","spotify:artist:73A3bLnfnz5BoQjb4gNCga","Bicep","spotify:album:0EdtTRCl3J22AnWrNpH1w9","Isles","spotify:artist:73A3bLnfnz5BoQjb4gNCga","Bicep","2021-01-22","https://i.scdn.co/image/ab67616d0000b2737002b491db4917f96f10283a","1","1","348306","https://p.scdn.co/mp3-preview/b5a03d09b99ffca327481bd038ac65f86f1c3377?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","GBCFB2000044","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-24T07:01:02Z","ambient house,electronica","0.544","0.793","3","-6.424","0","0.0319","0.1","0.95","0.173","0.126","128.981","4","","Ninja Tune","C 2021 Ninja Tune, P 2021 Ninja Tune"
"spotify:track:2aJDlirz6v2a4HREki98cP","Glue","spotify:artist:73A3bLnfnz5BoQjb4gNCga","Bicep","spotify:album:4psDRFbIlUM1KUb1omccXo","Bicep","spotify:artist:73A3bLnfnz5BoQjb4gNCga","Bicep","2017-09-01","https://i.scdn.co/image/ab67616d0000b273d4322a9004288009f6da2975","1","2","269149","https://p.scdn.co/mp3-preview/9b73b25a688372b983d5afa31e8101760a0b939d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","GBCFB1700229","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-24T07:01:08Z","ambient house,electronica","0.853","0.798","4","-7.995","0","0.068","0.0158","0.948","0.0967","0.42","129.983","4","","Ninja Tune","C 2017 Ninja Tune, P 2017 Ninja Tune"
"spotify:track:1AfA0K7BLxceH7PjzcZdZc","Slow Burn","spotify:artist:5jm3x1qIibWdKSEMw2G011, spotify:artist:5wr3WZArcItaxXddR07nJv","Moksi, Elayna Boynton","spotify:album:4lsszip8gEvULzZTTThGnS","The Return of House Music","spotify:artist:5jm3x1qIibWdKSEMw2G011","Moksi","2019-08-02","https://i.scdn.co/image/ab67616d0000b2737633bacd1df5c4cff71c4240","1","6","244302","https://p.scdn.co/mp3-preview/00ede3a5988c27327222200abf3e5be7743102a2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","USA2P1936750","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-08-31T06:27:54Z","bass house,dutch edm,edm,electro house,electronic trap","0.633","0.651","7","-6.814","0","0.0574","0.0632","0.00358","0.141","0.202","119.978","4","","Barong Family","C © 2019 Barong Family, P ℗ 2019 Barong Family"
"spotify:track:6nGhGBz7uaE1RngnIFRKep","Meli (II)","spotify:artist:73A3bLnfnz5BoQjb4gNCga","Bicep","spotify:album:6pDZnLDqV5XuiVmuSw7oZs","Meli (II)","spotify:artist:73A3bLnfnz5BoQjb4gNCga","Bicep","2022-06-28","https://i.scdn.co/image/ab67616d0000b273dad4d3a00743ef449fcc79c7","1","1","417431","https://p.scdn.co/mp3-preview/fe5001146aa6897407619e12cb038765fe0002b4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","GBCFB2200322","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-09-17T10:01:31Z","ambient house,electronica","0.489","0.92","3","-4.746","0","0.0323","0.0376","0.665","0.25","0.215","126.991","4","","Ninja Tune","C 2022 Ninja Tune, P 2022 Ninja Tune"
"spotify:track:0WfOuXw05LJq4ik1lVvTzi","Apricots","spotify:artist:73A3bLnfnz5BoQjb4gNCga","Bicep","spotify:album:0EdtTRCl3J22AnWrNpH1w9","Isles","spotify:artist:73A3bLnfnz5BoQjb4gNCga","Bicep","2021-01-22","https://i.scdn.co/image/ab67616d0000b2737002b491db4917f96f10283a","1","3","246506","https://p.scdn.co/mp3-preview/b223277b823fa66ab8c28630b6770b46d7e5d0d0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","GBCFB2000317","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-09-17T10:12:40Z","ambient house,electronica","0.819","0.599","11","-6.778","1","0.039","0.347","0.824","0.083","0.489","127.986","4","","Ninja Tune","C 2021 Ninja Tune, P 2021 Ninja Tune"
"spotify:track:7o2AeQZzfCERsRmOM86EcB","Xtal","spotify:artist:6kBDZFXuLrZgHnvmPu9NsG","Aphex Twin","spotify:album:7aNclGRxTysfh6z0d8671k","Selected Ambient Works 85-92","spotify:artist:6kBDZFXuLrZgHnvmPu9NsG","Aphex Twin","1992-02-10","https://i.scdn.co/image/ab67616d0000b27338906032688bb13b135ce19a","1","1","293751","https://p.scdn.co/mp3-preview/4fab7f7f24bb68fff26fd02149e6fd92c5898744?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","BEZ350800022","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-09-21T19:16:03Z","ambient,braindance,electronica,intelligent dance music,uk experimental electronic","0.51","0.505","9","-13.053","0","0.0344","0.342","0.96","0.117","0.318","114.532","4","","R&S Records","C R&S Records, P R&S Records"
"spotify:track:7F4dTMrS9rmtUqaXR5zBdQ","Amaya","spotify:artist:2f0w048dh1LH5QPDvwKECY","Jacana People","spotify:album:0R78EHws9OL6UhtFqZ4joz","Amaya","spotify:artist:2f0w048dh1LH5QPDvwKECY","Jacana People","2020-05-14","https://i.scdn.co/image/ab67616d0000b2737246c57ccca11471fdb4389d","1","1","282000","","false","0","GBKPL2098131","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-09-21T19:27:20Z","","0.791","0.48","9","-13.779","0","0.139","0.505","0.934","0.181","0.533","120","4","","Jacana People","C 2020 Jacana People, P 2020 Jacana People"
"spotify:track:66KXSLfCiAoZkcjyF3Uujm","Tacken","spotify:artist:2jYMYP2SVifgmzNRQJx3SJ","Modeselektor","spotify:album:595ckypY5Dho4okbAw24bz","Extended","spotify:artist:2jYMYP2SVifgmzNRQJx3SJ","Modeselektor","2021-04-09","https://i.scdn.co/image/ab67616d0000b273c583ca7609c0c8985e40c8e2","1","4","200389","","false","44","DEOE82100012","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-10-10T10:06:37Z","electronica,microhouse,minimal techno","0.651","0.564","10","-8.691","0","0.0385","0.102","0.133","0.612","0.165","103.025","4","","Monkeytown Records","C 2021 Monkeytown Records, P 2021 Monkeytown Records"
"spotify:track:77kMHM0D2MgGTjoL2308Lm","Innerbloom","spotify:artist:5Pb27ujIyYb33zBqVysBkj","RÜFÜS DU SOL","spotify:album:6EGK4tLQTEj8mnfTh0nqa5","Bloom","spotify:artist:5Pb27ujIyYb33zBqVysBkj","RÜFÜS DU SOL","2016","https://i.scdn.co/image/ab67616d0000b273bc488b39ebad6435086ce5b3","1","11","578040","https://p.scdn.co/mp3-preview/2ad4b1fe5a7904ea9d5d18b7b8d320298b785aa7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","FR2X41565153","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-25T09:48:10Z","australian electropop,edm,indietronica","0.729","0.72","3","-6.69","1","0.0371","0.125","0.353","0.178","0.0388","122.015","4","","Electric Sparklers","C Electric Sparklers, P Electric Sparklers"
"spotify:track:0RMQgXHIBTsAVcaS7qahLq","What To Do - &ME Remix","spotify:artist:3bqBkAzdPwEDe1JUvb7ZeC, spotify:artist:5mIowAJMp7RKNheelruV5z","Guy Gerber, &ME","spotify:album:0SQmYnktpdLsK7jypOjAHh","What To Do (Remixes)","spotify:artist:3bqBkAzdPwEDe1JUvb7ZeC","Guy Gerber","2018-10-26","https://i.scdn.co/image/ab67616d0000b273658b1ed8ede0e9c4bf7aa239","1","1","504590","https://p.scdn.co/mp3-preview/a5b74205229b88e9824d653dd8623b446c3858ce?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","CH7531800007","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-11-25T10:52:49Z","israeli techno,microhouse,minimal techno,organic electronic,organic house,tech house,deep disco house,organic house,tech house","0.904","0.727","7","-9.992","0","0.0591","0.0000654","0.86","0.0737","0.408","122.001","4","","Rumors","C 2018 Rumors, P 2018 Rumors"
