"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:3a94TbZOxhkI9xuNwYL53b","Black Summer","spotify:artist:0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","spotify:album:4a6LkeTXHKjMQgf42wQnbH","Black Summer","spotify:artist:0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","2022-02-04","https://i.scdn.co/image/ab67616d0000b273579b9602ae484950d95d0ab8","1","1","232412","https://p.scdn.co/mp3-preview/f4f2f6d275f2129616af282ab49ebab9920ec045?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","USWB12105880","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-02-12T07:59:36Z","alternative rock,funk metal,funk rock,permanent wave","0.417","0.682","1","-5.071","1","0.0295","0.0267","0.000669","0.109","0.351","105.542","4","","Warner Records","C © 2022 Warner Records Inc., P ℗ 2022 Warner Records Inc."
"spotify:track:5CQ30WqJwcep0pYcV4AMNc","Stairway to Heaven - Remaster","spotify:artist:36QJpDe2go2KgaRleHCDTp","Led Zeppelin","spotify:album:44Ig8dzqOkvkGDzaUof9lK","Led Zeppelin IV (Deluxe Edition)","spotify:artist:36QJpDe2go2KgaRleHCDTp","Led Zeppelin","1971-11-08","https://i.scdn.co/image/ab67616d0000b273c8a11e48c91a982d086afc69","1","4","482830","https://p.scdn.co/mp3-preview/fc80a280376d5142c888475bd8fdcd00b4fc8d7d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","USAT21300959","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-02-12T08:00:59Z","album rock,classic rock,hard rock,rock","0.338","0.34","9","-12.049","0","0.0339","0.58","0.0032","0.116","0.197","82.433","4","","Atlantic Records","C © 2014 Atlantic Recording Corporation. All Rights Reserved, P ℗ 2014 Atlantic Recording Corporation, a Warner Music Group Company. Marketed by Warner Music Group Company. All Rights Reserved"
"spotify:track:7BsPyswBtiM1PbPnUnuNzE","shibuya (feat. San Holo)","spotify:artist:46iJ1VD4HKFnqjISGqlZkV, spotify:artist:0jNDKefhfSbLR9sFvcPLHo","Covet, San Holo","spotify:album:1vvBlvKIqeQDPJbDkt0Xny","effloresce","spotify:artist:46iJ1VD4HKFnqjISGqlZkV","Covet","2018-07-13","https://i.scdn.co/image/ab67616d0000b273d8db2a2e1fb2474962960d25","1","1","345520","https://p.scdn.co/mp3-preview/a64d64b6e603b09a3b1b527d4a33d7d73d148682?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","US72W1821801","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-02-12T08:01:10Z","instrumental math rock,instrumental rock,math rock,edm,electro house,electronic trap,electropop,future bass,pop dance,pop edm,vapor twitch","0.445","0.765","4","-4.186","1","0.0317","0.454","0.184","0.186","0.332","126.018","3","","Triple Crown Records","C (C) 2018 Triple Crown Records"
"spotify:track:7fYKKFD0jiSlMDgG9IUs1q","Down To The Waterline","spotify:artist:0WwSkZ7LtFUFjGjMZBMt6T","Dire Straits","spotify:album:2rCS6Xwx32V27pvgFzLzlT","Dire Straits","spotify:artist:0WwSkZ7LtFUFjGjMZBMt6T","Dire Straits","1978-10-07","https://i.scdn.co/image/ab67616d0000b2739dfee5404d5e0763998c958e","1","1","241906","https://p.scdn.co/mp3-preview/9311a730cf5f2e55e1ba4827784077c7afce437e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","GBF087800019","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-02-12T08:01:21Z","album rock,classic rock,mellow gold,rock,soft rock","0.61","0.683","11","-11.549","0","0.0458","0.148","0.28","0.157","0.61","138.695","4","","EMI","C © 1978 Mercury Records Limited, P ℗ 1978 Mercury Records Limited"
"spotify:track:2RBcYkonAofm0rYycVrCGt","Lady Writer","spotify:artist:0WwSkZ7LtFUFjGjMZBMt6T","Dire Straits","spotify:album:2xQBCPq2gQ7l8thLUUZSKu","Communiqué","spotify:artist:0WwSkZ7LtFUFjGjMZBMt6T","Dire Straits","1979-06-15","https://i.scdn.co/image/ab67616d0000b2736b6f0a98cc331ad68b1fe26c","1","5","224666","https://p.scdn.co/mp3-preview/d924a3ec25bda759f897058aa16fb4f9fd8907cf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","GBF087900662","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-02-12T08:01:38Z","album rock,classic rock,mellow gold,rock,soft rock","0.633","0.809","1","-8.595","0","0.0282","0.103","0.611","0.0726","0.964","147.916","4","","EMI","C © 1979 Mercury Records Limited, P ℗ 1979 Mercury Records Limited"
"spotify:track:2mKY3LWyyLYgz3aFsHQk83","Tales Of Brave Ulysses","spotify:artist:74oJ4qxwOZvX6oSsu1DGnw","Cream","spotify:album:6fRqzJT070Kp9RWlSXmKcY","Disraeli Gears","spotify:artist:74oJ4qxwOZvX6oSsu1DGnw","Cream","1967-11-02","https://i.scdn.co/image/ab67616d0000b273f7d3ba2473d4452b83ba61c4","1","6","166360","https://p.scdn.co/mp3-preview/4ae8a327c27760911af237a49b0660ff771eeda3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","GBA076700030","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-02-12T08:01:45Z","album rock,art rock,blues rock,classic rock,folk rock,hard rock,psychedelic rock,rock,roots rock,supergroup","0.523","0.411","0","-13.371","0","0.0749","0.0637","0.00000128","0.047","0.277","105.659","4","","Universal International Music B.V.","C © 1997 Universal International Music B.V., P ℗ 1967 Universal International Music B.V."
"spotify:track:3Xls4cNOwy01dtrNXb1inG","White Room","spotify:artist:74oJ4qxwOZvX6oSsu1DGnw","Cream","spotify:album:0zrtTZC7yY2TOEhnbJzSb9","Wheels Of Fire","spotify:artist:74oJ4qxwOZvX6oSsu1DGnw","Cream","1968-07-01","https://i.scdn.co/image/ab67616d0000b2735c7731f5acdcb2d02d78b7ee","1","1","298333","https://p.scdn.co/mp3-preview/64e45f607b3be0a3b8757f9cba8c59025d8e257f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","GBA076800030","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-02-12T08:01:59Z","album rock,art rock,blues rock,classic rock,folk rock,hard rock,psychedelic rock,rock,roots rock,supergroup","0.553","0.576","0","-13.458","1","0.0304","0.191","0.00664","0.0365","0.457","109.827","4","","Polydor Records","C © 1997 Universal International Music B.V., P ℗ 1968 Universal International Music B.V."
"spotify:track:40riOy7x9W7GXjyGp4pjAv","Hotel California - 2013 Remaster","spotify:artist:0ECwFtbIWEVNwjlrfc6xoL","Eagles","spotify:album:2widuo17g5CEC66IbzveRu","Hotel California (2013 Remaster)","spotify:artist:0ECwFtbIWEVNwjlrfc6xoL","Eagles","1976-12-08","https://i.scdn.co/image/ab67616d0000b2734637341b9f507521afa9a778","1","1","391376","https://p.scdn.co/mp3-preview/412f7596ee68a616845f8b1269abaca5ad4e1b0d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","84","USEE11300353","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-02-12T08:02:06Z","album rock,classic rock,country rock,folk rock,heartland rock,mellow gold,rock,singer-songwriter,soft rock,yacht rock","0.579","0.508","2","-9.484","1","0.027","0.00574","0.000494","0.0575","0.609","147.125","4","","Rhino/Elektra","C © 1976 Elektra Records., P ℗ 1976 Elektra Records. Marketed by Warner Strategic Marketing, a Warner Music Group Company."
"spotify:track:0pQskrTITgmCMyr85tb9qq","Starman - 2012 Remaster","spotify:artist:0oSGxfWSnnOXhD2fKuz2Gy","David Bowie","spotify:album:48D1hRORqJq52qsnUYZX56","The Rise and Fall of Ziggy Stardust and the Spiders from Mars (2012 Remaster)","spotify:artist:0oSGxfWSnnOXhD2fKuz2Gy","David Bowie","1972-06-06","https://i.scdn.co/image/ab67616d0000b273c41f4e1133b0e6c5fcf58680","1","4","254293","https://p.scdn.co/mp3-preview/2e8bf798b95dc3d0a3770c2e7c694f5a23be6455?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","USJT11200004","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-02-12T08:02:12Z","art rock,classic rock,glam rock,permanent wave,rock","0.486","0.449","5","-10.298","1","0.0267","0.166","0.00000223","0.54","0.549","100.456","4","","Parlophone UK","C © 2015 Jones/Tintoretto Entertainment Co, LLC, P ℗ 2012 Jones/Tintoretto Entertainment Co, LLC under exclusive license to Parlophone Records Ltd, a Warner Music Group Company"
"spotify:track:7Jh1bpe76CNTCgdgAdBw4Z","Heroes - 2017 Remaster","spotify:artist:0oSGxfWSnnOXhD2fKuz2Gy","David Bowie","spotify:album:4I5zzKYd2SKDgZ9DRf5LVk","""Heroes"" (2017 Remaster)","spotify:artist:0oSGxfWSnnOXhD2fKuz2Gy","David Bowie","1977","https://i.scdn.co/image/ab67616d0000b273204f41d52743c6a9efd62985","1","3","371413","https://p.scdn.co/mp3-preview/826d7fbf0996aeed5b5f1f45a682a19935a93fb3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","USJT11700005","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-02-12T08:02:19Z","art rock,classic rock,glam rock,permanent wave,rock","0.489","0.758","7","-6.491","1","0.0297","0.000678","0.49","0.092","0.435","112.113","4","","Parlophone UK","C © 2017 Jones/Tintoretto Entertainment Company LLC, P ℗ 1977, 2017 Jones/Tintoretto Entertainment Company LLC under exclusive license to Parlophone Records Ltd, a Warner Music Group Company"
