"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:1QEEqeFIZktqIpPI4jSVSF","More Than a Feeling","spotify:artist:29kkCKKGXheHuoO829FxWK","Boston","spotify:album:2QLp07RO6anZHmtcKTEvSC","Boston","spotify:artist:29kkCKKGXheHuoO829FxWK","Boston","1976","https://i.scdn.co/image/ab67616d0000b27390ef9760e57fafd8f966d17a","1","1","285133","https://p.scdn.co/mp3-preview/c2218bba50a716621add2095ecee716282ac3f5c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","USSM17600941","spotify:user:","1970-01-01T00:00:00Z","album rock,art rock,classic rock,country rock,hard rock,mellow gold,rock,soft rock","0.377","0.681","7","-8.039","1","0.0298","0.00088","0.0023","0.0504","0.285","108.789","4","","Epic/Legacy","P (P) 1976, 2006 Epic Records, a division of Sony Music Entertainment"
"spotify:track:5AyL2kgLtTWEu3qO3B9SqK","Like A G6","spotify:artist:698hF4vcwHwPy8ltmXermq, spotify:artist:7C64wNX3howEFZjAYRKsfP, spotify:artist:7Ip2u3e5Nv6fFb5xyIHxEE","Far East Movement, The Cataracs, DEV","spotify:album:4axgysRjIB7ToC0DA7uxXC","Free Wired","spotify:artist:698hF4vcwHwPy8ltmXermq","Far East Movement","2010-01-01","https://i.scdn.co/image/ab67616d0000b273fc7cbacf9d506c92aa7d7720","1","2","216893","https://p.scdn.co/mp3-preview/9fd4082a1f185934d763c6cba4500785ae0e71a1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","USUM71008138","spotify:user:","1970-01-01T00:00:00Z","asian american hip hop,dance pop,edm,pop rap,pop rap,electropop,post-teen pop","0.435","0.837","3","-8.126","1","0.449","0.00676","0","0.117","0.778","124.913","4","","Interscope","C © 2010 Cherrytree/Interscope, P ℗ 2010 Cherrytree/Interscope"
"spotify:track:68Dni7IE4VyPkTOH9mRWHr","No Role Modelz","spotify:artist:6l3HvQ5sa6mXTsMTB19rO5","J. Cole","spotify:album:0UMMIkurRUmkruZ3KGBLtG","2014 Forest Hills Drive","spotify:artist:6l3HvQ5sa6mXTsMTB19rO5","J. Cole","2014-12-09","https://i.scdn.co/image/ab67616d0000b273c6e0948bbb0681ff29cdbae8","1","9","292799","https://p.scdn.co/mp3-preview/f4193a62bb89ab3a642ec766123349d8382a7bfe?cid=9950ac751e34487dbbe027c4fd7f8e99","true","89","USQX91402598","spotify:user:","1970-01-01T00:00:00Z","conscious hip hop,hip hop,north carolina hip hop,rap","0.69","0.521","10","-8.492","0","0.339","0.324","0","0.0534","0.494","100.028","4","","Roc Nation Records LLC","C © 2014 Cole World/Interscope Records, P ℗ 2014 Cole World/Interscope Records"
"spotify:track:4Li2WHPkuyCdtmokzW2007","Ni**as In Paris","spotify:artist:3nFkdlSjzX9mRTtwJOzDYB, spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","JAY-Z, Kanye West","spotify:album:2P2Xwvh2xWXIZ1OWY9S9o5","Watch The Throne (Deluxe)","spotify:artist:3nFkdlSjzX9mRTtwJOzDYB, spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","JAY-Z, Kanye West","2011-08-08","https://i.scdn.co/image/ab67616d0000b2734a767758e8ebe2443591c9fd","1","3","219333","https://p.scdn.co/mp3-preview/49d55955f149ab57e0ac8bbe37d3bb4e6b4eeecb?cid=9950ac751e34487dbbe027c4fd7f8e99","true","84","USUM71111621","spotify:user:","1970-01-01T00:00:00Z","east coast hip hop,hip hop,rap,chicago rap,rap","0.789","0.858","1","-5.542","1","0.311","0.127","0","0.349","0.775","140.022","4","","Roc Nation/RocAFella/IDJ","C © 2011 Roc-A-Fella Records, LLC/Shawn Carter, P ℗ 2011 Roc-A-Fella Records, LLC/Shawn Carter"
"spotify:track:6etwirSInfuJrSOlogS6Sh","American Boy","spotify:artist:5T0MSzX9RC5NA6gAI6irSn, spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Estelle, Kanye West","spotify:album:1fpyVGMhF1vdl4XTFo1IH0","Shine","spotify:artist:5T0MSzX9RC5NA6gAI6irSn","Estelle","2008-03-28","https://i.scdn.co/image/ab67616d0000b27398dc3e242a818007dd67b7c5","1","3","284733","https://p.scdn.co/mp3-preview/9ebc5dabd85a03e3e6f8fae3680fd5d22f45ce81?cid=9950ac751e34487dbbe027c4fd7f8e99","true","70","USAT20706210","spotify:user:","1970-01-01T00:00:00Z","neo soul,r&b,chicago rap,rap","0.693","0.729","0","-2.99","1","0.378","0.171","0","0.07","0.521","117.848","4","","Woah Dad!","C (C) 2008 Woah Dad!, P (P) 2008 Woah Dad!"
"spotify:track:3a94TbZOxhkI9xuNwYL53b","Black Summer","spotify:artist:0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","spotify:album:4a6LkeTXHKjMQgf42wQnbH","Black Summer","spotify:artist:0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","2022-02-04","https://i.scdn.co/image/ab67616d0000b273579b9602ae484950d95d0ab8","1","1","232412","https://p.scdn.co/mp3-preview/f4f2f6d275f2129616af282ab49ebab9920ec045?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","USWB12105880","spotify:user:","1970-01-01T00:00:00Z","alternative rock,funk metal,funk rock,permanent wave","0.417","0.682","1","-5.071","1","0.0295","0.0267","0.000669","0.109","0.351","105.542","4","","Warner Records","C © 2022 Warner Records Inc., P ℗ 2022 Warner Records Inc."
"spotify:track:4iVbJevT9JbstqPIRDSlgp","Save Somebody - SPY Vs. High Contrast Remix","spotify:artist:0bxHci3JIhhKA53n8rH3tT, spotify:artist:4uFxymnU41sM7ytUCjuYTN, spotify:artist:6aJAd8zM1s3Slw64KfsmaF","High Contrast, Callum Beattie, S.P.Y","spotify:album:2NdwPtGWR6IBFmOksbRZtz","Save Somebody (SPY Vs. High Contrast Remix)","spotify:artist:0bxHci3JIhhKA53n8rH3tT","High Contrast","2018-01-12","https://i.scdn.co/image/ab67616d0000b2738da82ae00e39f64e8276737e","1","1","295667","https://p.scdn.co/mp3-preview/001240eba14815bb1f8f0db1aae65849bbd63c59?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","GBSXS1700208","spotify:user:","1970-01-01T00:00:00Z","drum and bass,jump up,uk dance,uk dnb,scottish singer-songwriter,brazilian dnb,drum and bass,jump up,jungle,liquid funk,uk dnb","0.516","0.9","6","-3.338","1","0.0549","0.0041","0.082","0.661","0.115","170.041","4","","All Around The World","C © 2018 3Beat Productions Limited, P ℗ 2018 3Beat Productions Limited"
"spotify:track:2N3U8uTYhjX2KwGT0pf5x0","Everyday (feat. Rod Stewart, Miguel & Mark Ronson)","spotify:artist:13ubrt8QOOCPljQ2FL1Kca, spotify:artist:2y8Jo9CKhJvtfeKOsYzRdT, spotify:artist:360IAlyVv4PCEVjgyMZrxK, spotify:artist:3hv9jJF3adDNsBSIQDqcjp","A$AP Rocky, Rod Stewart, Miguel, Mark Ronson","spotify:album:3arNdjotCvtiiLFfjKngMc","AT.LONG.LAST.A$AP","spotify:artist:13ubrt8QOOCPljQ2FL1Kca","A$AP Rocky","2015-05-26","https://i.scdn.co/image/ab67616d0000b27381a6a2cafab2e7a4066b5eec","1","17","260986","https://p.scdn.co/mp3-preview/cf7effdc8ba7f64b214fd3578c9e057065791702?cid=9950ac751e34487dbbe027c4fd7f8e99","true","77","USRC11500811","spotify:user:","1970-01-01T00:00:00Z","east coast hip hop,hip hop,rap,mellow gold,soft rock,dance pop,hip hop,pop,r&b,urban contemporary,dance pop,pop","0.394","0.661","4","-8.684","1","0.192","0.00996","0","0.343","0.335","149.818","4","","A$AP Worldwide/Polo Grounds Music/RCA Records","P (P) 2015 A$AP Rocky Recordings LLC/RCA Records. Marketed & Distributed by Polo Grounds Music/RCA Records."
"spotify:track:0SyxZC4wlqAwf20cHE6Xon","Bulletproof","spotify:artist:3K2zB87GZv1krx031en5VA, spotify:artist:6HQ6vf4AloXyVNdyJhrX1J","La Roux, GAMPER & DADONI","spotify:album:5TSSlGJmfkBNC4M3uoMswL","Bulletproof","spotify:artist:3K2zB87GZv1krx031en5VA, spotify:artist:6HQ6vf4AloXyVNdyJhrX1J","La Roux, GAMPER & DADONI","2021-05-21","https://i.scdn.co/image/ab67616d0000b273b3bf3ba5d8ef6fb0bb564e4e","1","1","162213","https://p.scdn.co/mp3-preview/e2f863a8016efaf0276696ca4913a443215edff6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","GBUM72102497","spotify:user:","1970-01-01T00:00:00Z","alternative dance,dance pop,electropop,neo-synthpop,deep house,deep tropical house,edm,german dance,pop dance,pop edm,tropical house","0.752","0.771","6","-5.95","1","0.0311","0.00341","0.0000173","0.0905","0.527","126.02","4","","Polydor Records","C © 2021 Universal Music Operations Limited, P A Polydor Records & Virgin Records Germany release with courtesy of Big Top Amsterdam; ℗ 2021 Universal Music Operations Limited"
"spotify:track:5SkRLpaGtvYPhw02vZhQQ9","All Falls Down","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x, spotify:artist:1lE6SEy8f84Zhjvp7r8yTD","Kanye West, Syleena Johnson","spotify:album:4Uv86qWpGTxf7fU7lG5X6F","The College Dropout","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2004-02-10","https://i.scdn.co/image/ab67616d0000b27325b055377757b3cdd6f26b78","1","4","223506","https://p.scdn.co/mp3-preview/1d85eddad1a4210fe3224afacb5e785c614b7b9b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","80","USDJ20301703","spotify:user:","1970-01-01T00:00:00Z","chicago rap,rap,contemporary r&b,hip pop,neo soul,r&b,urban contemporary","0.657","0.734","8","-4.832","0","0.484","0.149","0","0.139","0.434","91.03","4","","Roc-A-Fella","C © 2004 UMG Recordings, Inc., P A Def Jam Records release;; ℗ 2004 UMG Recordings, Inc."
