"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:6xwhCiWXREsAIQVZqHswVw","Minecraft","spotify:artist:4uFZsG1vXrPcvnZ4iSQyrx","C418","spotify:album:3Gt7rOjcZQoHCfnKl5AkK7","Minecraft - Volume Alpha","spotify:artist:4uFZsG1vXrPcvnZ4iSQyrx","C418","2011-03-04","https://i.scdn.co/image/ab67616d0000b273aaeb5c9fb6131977995b7f0e","1","8","254000","https://p.scdn.co/mp3-preview/c7814cc7e12ad2df8ffefff53480637c41f4274f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","TCAAW1157077","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-06-26T08:40:48Z","dream smp,minecraft","0.206","0.0154","1","-22.923","1","0.0426","0.98","0.636","0.0662","0.116","83.68","3","","C418","C 2011 C418, P 2011 C418"
"spotify:track:70gbuMqwNBE2Y5rkQJE9By","Going to California - Remaster","spotify:artist:36QJpDe2go2KgaRleHCDTp","Led Zeppelin","spotify:album:44Ig8dzqOkvkGDzaUof9lK","Led Zeppelin IV (Deluxe Edition)","spotify:artist:36QJpDe2go2KgaRleHCDTp","Led Zeppelin","1971-11-08","https://i.scdn.co/image/ab67616d0000b273c8a11e48c91a982d086afc69","1","7","212160","https://p.scdn.co/mp3-preview/85bbb9572e554786b320555e9bab071986fe73de?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","USAT21300962","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-02T15:55:57Z","album rock,classic rock,hard rock,rock","0.503","0.265","2","-15.913","1","0.0333","0.943","0.045","0.0867","0.522","78.044","4","","Atlantic Records","C © 2014 Atlantic Recording Corporation. All Rights Reserved, P ℗ 2014 Atlantic Recording Corporation, a Warner Music Group Company. Marketed by Warner Music Group Company. All Rights Reserved"
"spotify:track:626wlz3bovvpH06PYht5R0","Us And Them - 2011 Remastered Version","spotify:artist:0k17h0D3J5VfsdmQ1iZtE9","Pink Floyd","spotify:album:2WT1pbYjLJciAR26yMebkH","The Dark Side Of The Moon (2011 Remastered Version)","spotify:artist:0k17h0D3J5VfsdmQ1iZtE9","Pink Floyd","1973-03-01","https://i.scdn.co/image/ab67616d0000b273d3709135d1005baa36939d80","1","7","472626","https://p.scdn.co/mp3-preview/190dc2ab678b75c6a81e16c3fc3826aebfdcc8e3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","GBN9Y1100082","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-02T15:56:24Z","album rock,art rock,classic rock,progressive rock,psychedelic rock,rock,symphonic rock","0.361","0.259","2","-16.279","1","0.0306","0.835","0.303","0.612","0.137","72.759","4","","Pink Floyd Records","C © 2016 Pink Floyd Music Ltd., P ℗ 2016 Pink Floyd Music Ltd., marketed and distributed by Parlophone Records Ltd., a Warner Music Group Company"
"spotify:track:5NgflIIUfY2sfuntLtcbLN","Anchor","spotify:artist:0A51LEnyTnXX33IyuwM0Ts","Rob Scallon","spotify:album:2NRmQa5rsSqARapsAQJx9n","Anchor EP (Tour Edition)","spotify:artist:0A51LEnyTnXX33IyuwM0Ts","Rob Scallon","2016-07-26","https://i.scdn.co/image/ab67616d0000b273f469dc1aa4409afc18f2cbc9","1","1","231927","https://p.scdn.co/mp3-preview/1c80d27dc9ad6baeb99d605f79273a802d3d89bf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","QM2PV1663830","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-02T15:56:39Z","instrumental bluegrass","0.272","0.358","5","-9.335","1","0.0297","0.027","0.905","0.12","0.202","75.772","4","","554972 Records DK","C 2016 554972 Records DK, P 2016 554972 Records DK"
"spotify:track:3WnsirnMsewrT2zO337NST","Rain","spotify:artist:0A51LEnyTnXX33IyuwM0Ts","Rob Scallon","spotify:album:2NRmQa5rsSqARapsAQJx9n","Anchor EP (Tour Edition)","spotify:artist:0A51LEnyTnXX33IyuwM0Ts","Rob Scallon","2016-07-26","https://i.scdn.co/image/ab67616d0000b273f469dc1aa4409afc18f2cbc9","1","7","122348","https://p.scdn.co/mp3-preview/4d15d5a76e35e39f07c2cedcbb0038aa239a44a0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","QM2PV1663836","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-02T15:56:53Z","instrumental bluegrass","0.692","0.602","5","-9.415","1","0.0349","0.963","0.92","0.114","0.788","123.187","4","","554972 Records DK","C 2016 554972 Records DK, P 2016 554972 Records DK"
"spotify:track:5pAJ7BSA3haqgqsxF3jS9m","For That Second","spotify:artist:0A51LEnyTnXX33IyuwM0Ts","Rob Scallon","spotify:album:2NRmQa5rsSqARapsAQJx9n","Anchor EP (Tour Edition)","spotify:artist:0A51LEnyTnXX33IyuwM0Ts","Rob Scallon","2016-07-26","https://i.scdn.co/image/ab67616d0000b273f469dc1aa4409afc18f2cbc9","1","10","237752","https://p.scdn.co/mp3-preview/f6c85c0be50234d01dced342223d740c64189355?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","QM2PV1663839","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-02T15:57:47Z","instrumental bluegrass","0.369","0.518","7","-9.124","1","0.0436","0.828","0.93","0.136","0.365","126.79","4","","554972 Records DK","C 2016 554972 Records DK, P 2016 554972 Records DK"
"spotify:track:3dZa4cqfnAOm154H601RbY","Aerial Boundaries","spotify:artist:3IqoFUpoJi1qvebL8Vi2aK","Michael Hedges","spotify:album:2hgrTinAeHSNaSPzLFoamH","Aerial Boundaries","spotify:artist:3IqoFUpoJi1qvebL8Vi2aK","Michael Hedges","1984-06-18","https://i.scdn.co/image/ab67616d0000b273a7c7934bbf3a642f66e86378","1","1","280893","https://p.scdn.co/mp3-preview/9b5b3d457b17171d49847acc48010ba35260f080?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","USWH18401010","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-02T19:11:46Z","fingerstyle","0.346","0.238","7","-21.36","1","0.0365","0.575","0.794","0.105","0.503","84.347","4","","Windham Hill Records","P (P) 1984 BMG Entertainment"
"spotify:track:561F1zqRwGPCTMRsLsXVtL","Time in a Bottle","spotify:artist:1R6Hx1tJ2VOUyodEpC12xM","Jim Croce","spotify:album:3L9sVl5T7UpFK6tNeEiXdy","You Don't Mess Around With Jim","spotify:artist:1R6Hx1tJ2VOUyodEpC12xM","Jim Croce","1972-04-01","https://i.scdn.co/image/ab67616d0000b27398078d325c25a5ac4081cfba","1","8","146175","https://p.scdn.co/mp3-preview/f8e248eb97294de8936a6dcf59fb8c58011fcb2b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","GBAJE7200780","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-02T19:17:23Z","album rock,classic rock,country rock,folk,folk rock,mellow gold,rock,roots rock,singer-songwriter,soft rock","0.544","0.265","2","-11.952","1","0.035","0.848","0","0.196","0.7","133.837","3","","R2M","C © 2013 BMG Rights Management (US) LLC, P ℗ 2013 BMG Rights Management (US) LLC"
"spotify:track:5UmjHuYRItemped2xd3Qx4","Self Control","spotify:artist:2N79L5eT2Xraec4UJsi2Fz","Justice Der","spotify:album:5wc1XEogSJeFO37RtAGaAc","Favorites","spotify:artist:2N79L5eT2Xraec4UJsi2Fz","Justice Der","2018-05-06","https://i.scdn.co/image/ab67616d0000b2731957caf1dfcaa5a1656e0a80","1","1","220000","https://p.scdn.co/mp3-preview/4c216f5fc1dc419e6f41114bb74920e10a1be637?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","QZB4J1803643","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-02T19:17:37Z","lo-fi cover","0.599","0.013","5","-32.126","0","0.0348","0.988","0.911","0.129","0.359","94.972","4","","CALL MORE","C 2018 CALL MORE, P 2018 CALL MORE"
"spotify:track:7o2AeQZzfCERsRmOM86EcB","Xtal","spotify:artist:6kBDZFXuLrZgHnvmPu9NsG","Aphex Twin","spotify:album:7aNclGRxTysfh6z0d8671k","Selected Ambient Works 85-92","spotify:artist:6kBDZFXuLrZgHnvmPu9NsG","Aphex Twin","1992-02-10","https://i.scdn.co/image/ab67616d0000b27338906032688bb13b135ce19a","1","1","293751","https://p.scdn.co/mp3-preview/4fab7f7f24bb68fff26fd02149e6fd92c5898744?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","BEZ350800022","spotify:user:31wecygb27qbbvt2sffggi3vjqk4","2022-07-20T20:24:54Z","ambient,braindance,electronica,intelligent dance music,uk experimental electronic","0.51","0.505","9","-13.053","0","0.0344","0.342","0.96","0.117","0.318","114.532","4","","R&S Records","C R&S Records, P R&S Records"
